NAME,CO2,GNP,origin
LVA,3.680331998,21488,0
PAN,2.420557997,20723,0
TUR,4.865860916,19836,0
HRV,4.248465537,19698,0
ARG,4.753076707,19502,0
ROU,3.913553539,19320,0
URY,1.938220881,19244,0
VEN,5.677949531,18802,0
GAB,2.739164951,18389,0
MUS,3.304532052,18322,0
BLR,6.216231302,18136,0
AZE,4.184195061,17460,0
MNE,3.882948241,17249,0
BGR,6.706149627,16373,0
IRN,7.943018657,16253,0
MEX,3.791167326,16096,0
BRA,2.486291711,15826,0
THA,4.669170038,15020,0
BWA,3.215180615,14805,0
DZA,3.77694323,14004,0
DOM,2.03935276,13762,0
CRI,1.699740443,13677,0
COL,1.783632202,13218,0
IRQ,4.64374594,13014,0
LBN,3.634839284,12953,0
SRB,4.670226417,12765,0
MNG,6.838160965,12398,0
MKD,3.490366367,12371,0
ZAF,8.339778791,12246,0
CHN,6.9550961,12244,0
BRB,4.577055454,11849,0
JOR,2.529423124,11519,0
PER,1.999877953,11445,0
EGY,2.137194134,11159,0
TUN,2.342155672,11060,0
ECU,2.593743618,10905,0
LKA,0.999970923,10763,0
GEO,2.394928549,10603,0
IDN,1.780388108,10484,0
LCA,2.395970057,10185,0
ARM,1.985543122,10042,0
ALB,2.034556318,10032,0
UZB,3.572741801,9720,0
BIH,7.003518124,9495,0
NAM,1.615491818,9462,0
DMA,1.934429895,9319,0
UKR,5.006520221,8961,0
AGO,1.247738552,8689,0
PRY,0.858287446,8539,0
LBY,8.366472521,8514,0
SLV,1.03570575,8109,0
MAR,1.753948305,8001,0
SWZ,0.93497406,7969,0
CUB,3.141038974,7889,0
GTM,1.218479769,7138,0
PHL,1.119025064,7047,0
JAM,2.680315066,7024,0
COG,0.646246273,6272,0
CPV,0.933002835,6266,0
BOL,1.865032686,6200,0
IND,1.738971219,5794,0
MDA,1.217109351,5775,0
VNM,1.971772892,5763,0
NGA,0.573040862,5578,0
LAO,0.261854104,5559,0
PAK,0.908699593,5030,0
MMR,0.447309655,5021,0
PSE,0.547742712,5003,0
NIC,0.833368909,4866,0
KGZ,1.692883351,4754,0
HND,1.122126458,4706,0
GHA,0.523786692,3809,0
TJK,0.638720891,3789,0
SDN,0.421676915,3625,0
STP,0.586662593,3545,0
ZMB,0.273369713,3478,0
MRT,0.562476393,3424,0
BGD,0.517992107,3402,0
CIV,0.46970259,3218,0
KHM,0.449586852,3086,0
SYR,1.543915735,3049,0
KEN,0.30799678,3046,0
DJI,0.798440934,2941,0
YEM,0.757335443,2844,0
CMR,0.31607451,2778,0
LSO,1.142599385,2710,0
TZA,0.231134251,2566,0
NPL,0.264703955,2455,0
TCD,0.050926893,2384,0
SEN,0.541824828,2311,0
BEN,0.600450544,2055,0
UGA,0.132638697,1954,0
AFG,0.299599261,1928,0
GMB,0.261287294,1786,0
HTI,0.27481676,1742,0
PRK,1.521313291,1720,0
COM,0.215984366,1696,0
RWA,0.078841285,1693,0
SLE,0.159453771,1563,0
ZWE,0.691341329,1560,0
ETH,0.123971668,1553,0
MLI,0.081781372,1553,0
BFA,0.153570409,1450,0
GNB,0.155082891,1393,0
TGO,0.355989315,1370,0
GIN,0.202231219,1364,0
MDG,0.12574963,1360,0
MWI,0.072564352,1124,0
MOZ,0.321964318,1103,0
NER,0.105010257,913,0
LBR,0.202879927,865,0
COD,0.061732139,836,0
BDI,0.046734475,694,0
CAF,0.066752273,576,0
QAT,45.00941162,155069,0
NOR,8.550584457,82216,0
ARE,23.02003197,72601,0
KWT,25.05341804,72508,0
SGP,10.3383143,65655,0
CHE,4.767863856,59485,0
LUX,17.53950332,55102,0
IRL,7.827338616,52651,0
USA,17.52732173,51664,0
SAU,19.5568607,50693,0
AUS,16.761227,47867,0
HKG,6.388617516,47038,0
DNK,6.642673672,44241,0
NLD,9.316344654,44205,0
DEU,9.73909872,43922,0
CAN,15.95317307,43607,0
SWE,4.461144423,42476,0
GNQ,4.729943759,41907,0
TWN,11.19655137,41472,0
AUT,7.442567916,41338,0
BHR,23.26326124,39799,0
OMN,15.24236866,39418,0
ISL,10.53965341,38563,0
BEL,8.591644353,38228,0
FIN,8.754969071,36858,0
JPN,9.863802384,36537,0
FRA,5.352379151,36527,0
GBR,6.747466712,36436,0
KOR,11.64119262,34493,0
NZL,7.797841754,33339,0
ITA,5.848323125,32829,0
TTO,34.06682271,30842,0
ESP,5.485505523,30819,0
ISR,8.002520991,30686,0
CZE,9.818375367,27024,0
MLT,5.787522664,26998,0
SVN,6.52515083,25693,0
PRT,4.579792567,24423,0
CYP,5.969356353,24411,0
RUS,11.596374,24387,0
SYC,5.304222875,24250,0
EST,14.33891692,24146,0
KAZ,14.68778071,23841,0
SVK,6.178106624,23703,0
POL,8.031615305,23266,0
LTU,4.346839117,23252,0
GRC,6.982488194,22344,0
HUN,4.475073551,22040,0
MYS,7.941476824,21683,0
TKM,12.44519874,21546,0
CHL,4.59736572,21335,0
LVA,3.590428877,20751,0
VEN,5.993698878,20317,0
PAN,2.190368065,19855,0
HRV,4.192726727,19284,0
TUR,4.641789509,19277,0
ARG,4.715317506,19183,0
URY,1.946488493,19160,0
BLR,6.724405616,18822,0
ROU,3.863290799,18515,0
GAB,2.756008238,18053,0
MUS,3.360267384,17818,0
AZE,3.93679764,17439,0
IRN,8.150777129,16493,0
MNE,3.519967372,16437,0
MEX,3.884412152,15856,0
BGR,6.25056257,15711,0
BRA,2.544039857,15258,0
BWA,3.221844605,15082,0
THA,4.577627408,14642,0
DZA,3.660570765,13744,0
LBN,4.230347996,13416,0
CRI,1.594733166,13222,0
DOM,2.017241173,13017,0
COL,1.745390307,12972,0
IRQ,4.752547194,12817,0
SRB,4.185743106,12606,0
MNG,7.113699666,12283,0
ZAF,8.947745186,12242,0
CHN,7.06444652,11944,0
MKD,3.611980775,11937,0
BRB,4.423347072,11780,0
JOR,2.923914505,11523,0
PER,1.956003903,11186,0
TUN,2.502895479,11040,0
ECU,2.716259184,11036,0
EGY,2.1467813,11016,0
LKA,0.880494349,10342,0
GEO,2.20191527,10297,0
IDN,1.803055879,10090,0
LCA,2.30530379,10035,0
UKR,5.716666971,9818,0
ALB,1.955705592,9808,0
LBY,9.143601228,9736,0
ARM,1.920514163,9735,0
DMA,1.862760724,9507,0
BIH,6.202353877,9201,0
NAM,1.570401811,9170,0
UZB,3.425643486,9085,0
AGO,1.2799794,8673,0
PRY,0.853634646,8382,0
SLV,0.982211346,7935,0
SWZ,0.927955203,7927,0
MAR,1.737417151,7733,0
CUB,3.027429645,7628,0
JAM,2.590880655,7005,0
GTM,1.125717488,6981,0
PHL,1.029197974,6763,0
COG,0.624309588,6321,0
CPV,0.932639613,6262,0
BOL,1.896373508,6007,0
MDA,1.165658797,5739,0
NGA,0.532614144,5569,0
IND,1.706162256,5458,0
VNM,1.725782309,5455,0
LAO,0.25441703,5251,0
PSE,0.62501,4939,0
PAK,0.875402344,4850,0
MMR,0.413301127,4728,0
NIC,0.79500839,4685,0
KGZ,1.630092284,4644,0
HND,1.053009163,4620,0
YEM,0.848216592,4054,0
GHA,0.523762756,3747,0
TJK,0.605146559,3633,0
SYR,1.568082068,3536,0
ZMB,0.272436678,3478,0
STP,0.593853586,3474,0
MRT,0.571609677,3459,0
BGD,0.446319463,3217,0
CIV,0.432238281,3011,0
KEN,0.296722009,2942,0
KHM,0.42672442,2930,0
DJI,0.748430206,2823,0
CMR,0.308184622,2696,0
LSO,1.149170117,2644,0
TZA,0.215206563,2467,0
NPL,0.270520267,2421,0
TCD,0.052112161,2279,0
SEN,0.570998869,2224,0
AFG,0.29883325,2022,0
BEN,0.598659149,2008,0
SLE,0.160965945,2007,0
UGA,0.128439069,1923,0
PRK,1.578826361,1749,0
HTI,0.267162365,1749,0
GMB,0.267465894,1743,0
COM,0.202648196,1647,0
RWA,0.072591124,1615,0
ZWE,0.769958386,1594,0
MLI,0.083160573,1505,0
ETH,0.112883162,1459,0
BFA,0.159337553,1437,0
GIN,0.202628822,1399,0
GNB,0.157112527,1355,0
MDG,0.129174601,1354,0
TGO,0.307063785,1334,0
MWI,0.071789358,1129,0
MOZ,0.303304031,1060,0
NER,0.110854967,911,0
LBR,0.205369299,884,0
COD,0.062819916,802,0
BDI,0.043625132,748,0
CAF,0.066538631,561,0
QAT,37.39325572,154159,0
NOR,8.72597451,81583,0
KWT,27.18293678,75256,0
ARE,18.67711334,70791,0
SGP,10.3772064,64633,0
CHE,5.309927563,59036,0
LUX,18.7863851,53411,0
USA,17.49277652,50863,0
SAU,18.06026701,50005,0
IRL,7.941714967,48743,0
AUS,17.19875854,47250,0
HKG,6.261894334,46040,0
NLD,9.783861145,43744,0
DNK,7.418661147,43733,0
DEU,10.24600469,43413,0
GNQ,4.760259323,43209,0
CAN,16.13627594,42994,0
SWE,4.656042346,41811,0
OMN,16.3431334,41680,0
AUT,7.927600682,41375,0
TWN,11.06711617,39971,0
BHR,23.63055339,38493,0
ISL,10.64670693,38258,0
BEL,9.144091131,37737,0
FIN,9.546668238,37246,0
FRA,5.855117145,36632,0
JPN,10.24113216,36354,0
GBR,7.39053787,35618,0
KOR,11.79088442,33588,0
ITA,6.090365056,33094,0
NZL,7.795075731,32989,0
TTO,34.42655207,30987,0
ESP,5.411048213,30280,0
ISR,8.438330609,30257,0
CZE,10.04307729,26338,0
MLT,5.845142967,25162,0
SVN,7.340853523,24944,0
CYP,5.677840416,24519,0
RUS,11.60181554,24224,0
PRT,4.567195275,24076,0
EST,14.90329382,23436,0
SVK,6.568309797,23132,0
KAZ,13.93811412,23131,0
SYC,4.34474209,23036,0
POL,8.350713737,22510,0
LTU,4.372655527,22274,0
GRC,7.21848018,22118,0
VEN,6.031724916,21429,0
CHL,4.677091813,21135,0
HUN,4.447170002,21126,0
MYS,7.871231168,20760,0
LVA,3.637618067,20129,0
ARG,4.429442447,19873,0
TKM,12.36874697,19751,0
HRV,4.345259703,19298,0
PAN,2.722453076,18979,0
TUR,4.575711419,18788,0
URY,2.197720866,18589,0
BLR,6.796535875,18464,0
ROU,3.828404857,17979,0
GAB,2.893191054,17532,0
MUS,3.239920656,17311,0
AZE,3.791033587,17133,0
IRN,7.864142339,16248,0
MNE,3.581651236,16064,0
MEX,4.019715457,15680,0
BGR,5.860883063,15420,0
